path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_807,-1.6,2.48
2015-02-16-16-49-06_denoised_727,0.6,0.12
2015-02-16-16-49-06_denoised_882,0.8,0.48
2015-02-16-16-49-06_denoised_958,-2.0,2.36
2015-02-16-16-49-06_denoised_710,1.8,1.0
2015-02-16-16-49-06_denoised_604,-1.6,2.2
2015-02-16-16-49-06_denoised_1771,-0.8,2.96
2015-02-16-16-49-06_denoised_1147,1.0,1.24
2015-02-16-16-49-06_denoised_853,0.0,2.36
2015-02-16-16-49-06_denoised_653,1.2,0.56
2015-02-16-16-49-06_denoised_868,-1.8,2.0
2015-02-16-16-49-06_denoised_1588,-0.4,2.8
2015-02-16-16-49-06_denoised_1572,-2.0,2.64
2015-02-16-16-49-06_denoised_243,1.0,0.72
2015-02-16-16-49-06_denoised_1280,-2.0,2.44
2015-02-16-16-49-06_denoised_675,1.8,0.96
2015-02-16-16-49-06_denoised_198,0.2,2.72
2015-02-16-16-49-06_denoised_268,0.6,0.56
2015-02-16-16-49-06_denoised_303,-0.4,1.44
2015-02-16-16-49-06_denoised_86,-1.8,2.4
2015-02-16-16-49-06_denoised_130,1.2,0.16
2015-02-16-16-49-06_denoised_455,0.4,1.28
2015-02-16-16-49-06_denoised_1198,-1.8,2.8
2015-02-16-16-49-06_denoised_492,-2.0,2.52
2015-02-16-16-49-06_denoised_153,-2.0,2.6
2015-02-16-16-49-06_denoised_103,-0.8,0.88
2015-02-16-16-49-06_denoised_1077,0.0,1.84
2015-02-16-16-49-06_denoised_763,-1.6,2.04
2015-02-16-16-49-06_denoised_1358,-0.8,2.2
2015-02-16-16-49-06_denoised_1682,-1.4,1.64
2015-02-16-16-49-06_denoised_288,2.0,0.96
2015-02-16-16-49-06_denoised_1000,-0.4,2.64
2015-02-16-16-49-06_denoised_930,0.0,2.84
2015-02-16-16-49-06_denoised_792,0.4,2.56
2015-02-16-16-49-06_denoised_1044,0.0,2.68
2015-02-16-16-49-06_denoised_839,1.4,0.48
2015-02-16-16-49-06_denoised_640,-0.4,0.88
2015-02-16-16-49-06_denoised_353,0.2,2.72
2015-02-16-16-49-06_denoised_1419,1.4,0.56
2015-02-16-16-49-06_denoised_177,-2.0,2.72
2015-02-16-16-49-06_denoised_1640,-0.6,1.68
2015-02-16-16-49-06_denoised_1386,-1.4,1.72
2015-02-16-16-49-06_denoised_1102,-2.0,2.4
2015-02-16-16-49-06_denoised_1754,0.2,0.04
2015-02-16-16-49-06_denoised_535,-1.4,2.56
2015-02-16-16-49-06_denoised_1532,1.8,1.04
2015-02-16-16-49-06_denoised_562,1.0,1.28
2015-02-16-16-49-06_denoised_220,-1.2,1.36
2015-02-16-16-49-06_denoised_1714,0.4,1.56
2015-02-16-16-49-06_denoised_1116,1.4,1.4
2015-02-16-16-49-06_denoised_339,0.8,1.2
2015-02-16-16-49-06_denoised_1318,-1.8,1.92
